session_idx,pupil_x,pupil_y,scene_target_x,scene_target_y
6,315.500,229.000,1039.688,388.040
6,332.000,230.000,1221.504,367.579
6,279.000,237.000,663.923,551.855
6,298.000,236.000,863.638,526.678
6,316.500,237.000,1050.449,511.097
6,333.000,238.000,1240.919,491.535
6,285.000,245.000,739.679,666.393
6,298.000,249.000,870.098,700.821
6,317.000,250.000,1070.628,675.478
6,335.500,251.000,1271.690,656.880
7,280.000,226.000,682.169,393.078
7,295.000,223.000,837.070,337.930
7,312.000,225.000,1013.406,332.562
7,328.000,227.000,1193.179,321.765
7,274.000,234.000,633.336,515.939
7,293.000,233.000,818.794,497.680
7,310.000,234.000,1004.008,491.149
7,327.000,236.000,1194.858,474.861
7,278.000,243.000,667.764,655.498
7,296.000,242.000,858.696,637.741
7,313.000,245.000,1045.479,630.872
7,331.000,246.000,1237.955,619.017
8,283.000,226.000,752.315,422.745
8,295.000,224.000,888.074,378.019
8,310.000,226.000,1049.945,388.449
8,326.000,228.000,1227.825,382.143
8,279.000,234.000,724.727,554.721
8,294.000,235.000,890.588,550.770
8,311.000,235.000,1064.707,537.675
8,327.000,237.000,1245.124,525.415
8,289.000,242.000,830.173,677.917
8,298.000,248.000,932.385,771.527
8,313.500,251.000,1103.219,779.134
8,329.000,252.000,1280.241,767.408
9,276.000,235.000,604.538,502.787
9,287.000,226.000,739.807,338.856
9,312.000,228.000,992.787,334.539
9,333.000,232.000,1238.889,331.357
9,263.000,241.000,478.493,589.512
9,287.000,241.000,730.965,580.687
9,309.000,243.000,965.676,585.610
9,330.000,247.000,1213.422,575.739
9,261.000,258.000,468.577,834.684
9,285.000,257.000,718.803,812.478
9,309.000,257.000,972.494,798.164
9,330.000,260.000,1209.963,774.226
10,267.000,224.000,346.100,238.482
10,311.000,224.000,811.840,227.711
10,351.000,229.000,1245.096,217.234
10,384.000,240.000,1680.214,222.493
10,275.000,242.000,476.777,508.488
10,315.000,242.000,884.430,499.836
10,352.000,249.000,1283.751,518.513
10,384.000,258.000,1673.695,523.745
10,282.000,261.000,552.545,793.049
10,294.000,300.000,868.241,838.593
10,345.000,272.000,1223.290,863.901
10,378.000,280.000,1615.266,862.173
11,273.000,217.000,499.574,353.197
11,304.000,217.000,816.757,337.818
11,335.000,222.000,1150.293,342.977
11,362.000,229.000,1485.275,330.956
11,269.000,234.000,453.210,622.838
11,300.000,234.000,781.579,606.580
11,332.000,237.000,1120.210,588.057
11,363.000,242.000,1494.816,544.869
11,268.000,250.000,450.112,857.185
11,301.500,253.000,798.943,858.656
11,333.000,255.000,1149.469,845.052
11,364.000,261.000,1510.266,838.875
12,267.500,223.000,437.914,374.576
12,298.000,223.000,787.193,391.754
12,328.000,221.000,1112.980,290.063
12,357.000,228.000,1449.945,299.152
12,271.000,236.000,514.064,612.400
12,303.000,237.000,845.830,594.229
12,333.000,240.000,1165.701,584.430
12,360.000,246.000,1494.534,579.620
12,273.000,255.000,523.834,885.623
12,302.000,255.000,837.169,870.660
12,332.000,256.500,1178.278,825.703
12,359.000,261.000,1492.909,817.095
13,267.000,211.000,408.088,303.783
13,295.000,210.000,719.428,282.394
13,320.000,211.000,994.403,262.651
13,345.000,215.000,1290.930,224.512
13,366.000,220.000,1566.726,197.978
13,264.000,222.000,398.988,472.685
13,315.000,221.000,957.920,427.851
13,342.000,225.000,1267.854,399.422
